stock_code,stock_name,pe,date
600418,江淮汽车,4.365853658536586,20050105
000866,扬子石化,4.810945273631841,20050105
000625,长安汽车,5.505376344086021,20050105
000825,太钢不锈,5.736235595390525,20050105
600307,酒钢宏兴,5.914285714285714,20050105
600010,包钢股份,5.92857142857143,20050105
600053,九鼎投资,5.953846153846154,20050105
000709,河钢股份,6.0588235294117645,20050105
600022,山东钢铁,6.185567010309279,20050105
000717,中南股份,6.4704322460885715,20050105
600126,杭钢股份,6.471153846153847,20050105
600231,凌钢股份,6.88430698739977,20050105
600282,南钢股份,6.923076923076923,20050105
000761,本钢板材,7.091868404717568,20050105
600808,马钢股份,7.184115523465703,20050105
600102,莱钢股份,7.338308457711443,20050105
000932,华菱钢铁,7.3612087139845395,20050105
600001,邯郸钢铁,7.386363636363636,20050105
600581,八一钢铁,7.418918918918919,20050105
000618,吉林化工,7.49965407499654,20050105
600331,宏达股份,7.656023222060957,20050105
600104,上汽集团,7.698675496688742,20050105
600019,宝钢股份,7.88,20050105
000778,新兴铸管,7.915250849490306,20050105
000039,中集集团,8.062730627306273,20050105
600058,五矿发展,8.227323008849558,20050105
600688,上海石化,8.227848101265822,20050105
600205,S山东铝,8.352950726520008,20050105
000629,钒钛股份,8.587301587301587,20050105
600837,海通证券,8.637588826268072,20050105
000959,首钢股份,8.72340425531915,20050105
600005,武钢股份,8.819599109131403,20050105
600153,建发股份,8.870967741935484,20050105
000898,鞍钢股份,8.916666666666666,20050105
000528,柳    工,9.02816638686812,20050105
600303,ST曙光,9.115942028985508,20050105
600647,退市同达,9.26470588235294,20050105
600002,齐鲁石化,9.318181818181818,20050105
600569,安阳钢铁,9.5,20050105
000157,中联重科,9.561647463912065,20050105
600500,中化国际,9.621451104100947,20050105
000616,*ST海投,9.667832167832168,20050105
600585,海螺水泥,9.799999999999999,20050105
600177,雅戈尔,10.018903591682419,20050105
600006,东风股份,10.04507405022537,20050105
600096,云天化,10.10204081632653,20050105
000933,神火股份,10.225618631732168,20050105
000960,锡业股份,10.356971346246198,20050105
600383,金地集团,10.415524613529218,20050105
600408,安泰集团,10.44776119402985,20050105
000560,我爱我家,10.44822256568779,20050105
600130,波导股份,10.466666666666667,20050105
000527,美的电器,10.492537313432836,20050105
600357,承德钒钛,10.5,20050105
000550,江铃汽车,10.577777777777778,20050105
000956,中原油气,10.833333333333334,20050105
000807,云铝股份,11.171428571428573,20050105
600160,巨化股份,11.171662125340598,20050105
600028,中国石化,11.182795698924732,20050105
600507,方大特钢,11.6,20050105
600683,京投发展,11.621621621621621,20050105
600718,东软集团,11.760416666666666,20050105
600227,赤天化,11.78743961352657,20050105
000630,铜陵有色,11.878048780487806,20050105
600428,中远海特,11.913978494623656,20050105
600114,东睦股份,11.930232558139535,20050105
000817,辽河油田,11.982142857142856,20050105
600031,三一重工,12.0,20050105
600707,彩虹股份,12.1,20050105
600596,新安股份,12.183333333333334,20050105
000402,金 融 街,12.5,20050105
600362,江西铜业,12.534883720930232,20050105
600556,天下秀,12.536343423978108,20050105
600755,厦门国贸,12.558823529411763,20050105
600886,国投电力,12.658662092624358,20050105
000651,格力电器,12.756410256410255,20050105
000559,万向钱潮,12.757575757575756,20050105
600894,广日股份,12.873134328358208,20050105
000531,穗恒运Ａ,12.894736842105264,20050105
000066,中国长城,12.929577464788732,20050105
600016,民生银行,13.149999999999999,20050105
600740,山西焦化,13.154639175257731,20050105
600308,华泰股份,13.244444444444444,20050105
600188,兖矿能源,13.274725274725274,20050105
600066,宇通客车,13.285714285714288,20050105
600219,南山铝业,13.288461538461538,20050105
000406,石油大明,13.351351351351353,20050105
600823,*ST世茂,13.369098712446352,20050105
600098,广州发展,13.377265238879735,20050105
600708,光明地产,13.405196241017135,20050105
000046,*ST泛海,13.41021416803954,20050105
600087,退市长油,13.441176470588236,20050105
000876,新 希 望,13.45372460496614,20050105
600508,上海能源,13.56043956043956,20050105
000027,深圳能源,13.589285714285714,20050105
000024,招商地产,13.597246127366612,20050105
600567,山鹰国际,13.655172413793105,20050105
000878,云南铜业,13.666666666666666,20050105
000926,福星股份,13.741610738255034,20050105
000937,冀中能源,13.766581206108572,20050105
600432,退市吉恩,13.810810810810812,20050105
600000,浦发银行,13.816326530612244,20050105
000731,四川美丰,13.820375335120644,20050105
000539,粤电力Ａ,13.865546218487395,20050105
600166,福田汽车,13.865546218487395,20050105
600230,沧州大化,13.902439024390242,20050105
000002,万  科Ａ,13.928571428571429,20050105
000763,锦州石化,13.970588235294116,20050105
600333,长春燃气,13.98076923076923,20050105
000815,美利云,14.043478260869565,20050105
600761,安徽合力,14.049999999999999,20050105
600971,恒源煤电,14.1358024691358,20050105
000830,鲁西化工,14.17989417989418,20050105
600123,兰花科创,14.291359325605901,20050105
001696,宗申动力,14.311079545454545,20050105
600595,中孚实业,14.382785956964891,20050105
600302,标准股份,14.628099173553718,20050105
600686,金龙汽车,14.64,20050105
000037,深南电A,14.65,20050105
000726,鲁  泰Ａ,14.666666666666666,20050105
600167,联美控股,14.719783929777178,20050105
600887,伊利股份,14.737704918032788,20050105
600269,赣粤高速,14.765957446808512,20050105
000912,泸天化,14.782608695652172,20050105
600997,开滦股份,14.82258064516129,20050105
600359,新农开发,14.845679012345677,20050105
600270,外运发展,14.849235852953326,20050105
600606,绿地控股,14.88235294117647,20050105
600675,中华企业,14.903225806451614,20050105
600531,豫光金铅,14.952830188679245,20050105
600020,中原高速,14.989858012170385,20050105
600449,宁夏建材,15.022222222222222,20050105
600400,红豆股份,15.085106382978724,20050105
